ID	length	GC_num	IC_num	goodC_num	IC%	MD	TPR/FPRsum_min	TPR/FPRsum1	TPR/FPRsum2	TPR/FPRsum3	TPR/FPRsum4	TPR/FPRsum5	TPR/FPRsum6	TPR/FPRsum7	TPR/FPRsum8	TPR/FPRsum9	TPR/FPRsum_max	TPR_min	TPR_1	TPR_2	TPR_3	TPR_4	TPR_5	TPR_6	TPR_7	TPR_8	TPR_9	TPR_max	FPR_min	FPR_1	FPR_2	FPR_3	FPR_4	FPR_5	FPR_6	FPR_7	FPR_8	FPR_9	FPR_max	f_MEC	f_OLS	f_OLS/MD^2	f_FMC	f_fastmeC	f_newC	f_newC/nonIC_num	f_tree_length	f_topo	f_jk30	f_jk50	f_jk70	U_MEC	U_OLS	U_OLS/MD^2	U_FMC	U_fastmeC	U_newC	U_newC/nonIC_num	U_tree_length	U_topo	U_jk30	U_jk50	U_jk70	f/U_MEC	f/U_OLS	f/U_FMC	f/U_fastmeC	f/U_newC	f/U_topo	f/U_jk30	f/U_jk50	f/U_jk70	division
Pf_023_PF00133_1	768	324	95	349	12.37	0.6516	0.0011	0.02	0.0557	0.09	0.1339	0.17	0.2189	0.2875	0.3722	0.4906	1.3118	0.0005	0.0096	0.0242	0.04	0.0534	0.0735	0.0955	0.1256	0.1665	0.2329	0.4524	0	0.0058	0.0107	0.0169	0.0238	0.0308	0.0382	0.0472	0.0598	0.0833	0.2042	6.0466	0.2684	0.6322	0.4928	0.2885	326585	485.27	3.94	1203	842	964	1009	6.0284	0.8486	1.9987	1.64	0.2994	319287	474.42	3.928	1075	969	1058	1103	1.003	0.3163	0.3011	0.9636	1.0229	1.1191	0.8689	0.9112	0.9148	fitch
Pf_028_PF00623_1	143	0	95	48	66.43	0.1639	0.0002	0.02	0.0519	0.09	0.1195	0.15	0.1914	0.2357	0.2848	0.3827	0.9196	0.0001	0.012	0.0314	0.0535	0.0727	0.0912	0.1157	0.1455	0.1918	0.2434	0.5115	0.0001	0.007	0.0159	0.0236	0.0323	0.042	0.0535	0.0688	0.0896	0.1217	0.2735	5.3746	0.0347	1.2917	1.2242	0.2601	33110	689.79	0.881	1203	563	744	892	5.5006	0.0824	3.0674	3.81	0.2636	32962	686.71	0.902	1177	518	700	822	0.9771	0.4211	0.3217	0.9867	1.0045	1.0221	1.0869	1.0629	1.0852	UPGMA
Pf_032_PF04560_1	77	0	39	38	50.65	0.2781	0.0002	0.03	0.07	0.11	0.1505	0.2	0.246	0.3185	0.4433	0.6102	1.6404	0	0.0175	0.0361	0.0608	0.0911	0.113	0.1472	0.1828	0.2286	0.3083	0.603	0	0.006	0.0125	0.0196	0.0292	0.0386	0.0501	0.0646	0.0819	0.1132	0.2653	5.2038	0.0691	0.8935	1.1199	0.2503	28052	738.21	1.447	1238	473	715	870	5.3452	0.2908	3.7600	3.94	0.2562	27566	725.42	1.487	1138	545	720	868	0.9735	0.2376	0.2844	0.977	1.0176	1.0879	0.8679	0.9931	1.0023	fitch
Pf_036_PF01464_1	149	57	10	82	6.71	1.327	0.0002	0.02	0.0504	0.07	0.106	0.14	0.173	0.2172	0.2592	0.3264	0.7306	0.0001	0.019	0.0367	0.0594	0.0858	0.1068	0.134	0.1748	0.2192	0.2974	0.7827	0.0001	0.0101	0.0202	0.0317	0.0433	0.0561	0.0692	0.0889	0.1115	0.1575	0.4229	5.7204	3.4557	1.9624	1.303	0.2747	69090	497.05	7.591	1138	681	874	1003	5.8674	6.9707	3.9585	3.13	0.2807	68850	495.32	7.786	1103	696	876	1002	0.9749	0.4957	0.4164	0.9786	1.0035	1.0317	0.9784	0.9977	1.001	fitch
Pf_041_PF02518_3	138	37	12	89	8.7	1.2878	0	0.02	0.052	0.07	0.0925	0.12	0.1432	0.1687	0.1995	0.2512	0.58	0	0.0132	0.0321	0.0449	0.0583	0.0724	0.0905	0.1147	0.1498	0.1956	0.3875	0	0.0072	0.0152	0.0254	0.0365	0.0471	0.0605	0.0766	0.0953	0.1192	0.2488	6.3098	1.8229	1.0992	1.0437	0.3029	65772	522	8.126	1057	506	757	975	6.314	2.6071	1.5720	1.58	0.3033	65749	521.82	8.13	1054	506	734	935	0.9993	0.6992	0.6616	0.9987	1.0003	1.0028	1	1.0313	1.0428	UPGMA
Pf_043_PF01209_1	253	36	30	187	11.86	0.9135	0.0002	0.04	0.0707	0.1	0.1408	0.18	0.2192	0.2713	0.3138	0.406	0.7846	0.0001	0.0175	0.0345	0.0485	0.0629	0.0814	0.1023	0.1263	0.1568	0.2062	0.4561	0.0001	0.006	0.0131	0.0196	0.0264	0.0337	0.0428	0.0526	0.0661	0.0862	0.1852	5.9724	0.6578	0.7883	0.5275	0.2877	122471	549.2	5.456	1114	719	892	1011	6.0648	1.5824	1.8963	1.83	0.2888	123063	551.85	5.542	1091	748	897	989	0.9848	0.4157	0.2889	0.9962	0.9952	1.0211	0.9612	0.9944	1.0222	UPGMA
Pf_045_PF01386_1	89	4	5	80	5.62	1.2844	0.0009	0.02	0.0433	0.07	0.1024	0.13	0.1647	0.1906	0.2322	0.2881	0.6165	0.0005	0.0162	0.0319	0.0471	0.0734	0.0972	0.1239	0.1526	0.1848	0.2496	0.462	0	0.009	0.0191	0.031	0.0419	0.0539	0.0702	0.0875	0.108	0.1388	0.2811	5.8478	2.4998	1.5153	1.2172	0.2803	58888	701.05	7.511	1098	584	765	922	5.9724	4.3895	2.6608	2.39	0.2826	58806	700.07	7.672	1088	585	783	929	0.9791	0.5695	0.5089	0.9919	1.0014	1.0092	0.9983	0.977	0.9925	fitch
Pf_054_PF02223_1	211	48	11	152	5.21	1.3058	0.0002	0.03	0.0526	0.08	0.1031	0.13	0.1619	0.1917	0.2314	0.3032	0.6806	0.0001	0.0156	0.031	0.0464	0.0653	0.0869	0.1108	0.131	0.1644	0.2417	0.6892	0.0001	0.0083	0.0171	0.0262	0.0371	0.0485	0.0607	0.0754	0.0975	0.1267	0.2643	6.0984	2.09	1.2257	0.9456	0.2919	109950	549.75	7.963	1123	739	937	1087	6.0424	5.0021	2.9336	2.33	0.3063	109963	549.82	7.89	1018	823	1007	1122	1.0093	0.4178	0.4064	0.953	0.9999	1.1031	0.8979	0.9305	0.9688	UPGMA
Pf_058_PF13932_1	73	1	12	60	16.44	0.8204	0.0003	0.03	0.052	0.09	0.1124	0.14	0.1687	0.2036	0.2868	0.3656	0.7662	0.0003	0.0211	0.0409	0.0632	0.0851	0.109	0.141	0.1847	0.2402	0.3009	0.7162	0.0001	0.0104	0.0203	0.0321	0.0442	0.0559	0.071	0.09	0.114	0.1567	0.3479	6.0522	1.6327	2.4258	1.7851	0.2934	39310	644.43	4.965	1018	389	553	690	5.9976	3.2876	4.8846	4.37	0.2929	40588	665.38	4.921	1004	508	714	869	1.0091	0.4966	0.4083	1.0017	0.9685	1.0139	0.7657	0.7745	0.794	UPGMA
Pf_060_PF00383_1	110	16	20	74	18.18	0.7053	0.0005	0.03	0.0587	0.09	0.1275	0.17	0.2198	0.2923	0.3508	0.4691	1.1261	0.0004	0.02	0.0344	0.0584	0.0772	0.1009	0.1277	0.1685	0.2116	0.2777	0.6324	0	0.0084	0.0162	0.0245	0.0347	0.0436	0.0553	0.068	0.0853	0.1096	0.2421	6.132	0.5569	1.1195	0.9647	0.2938	41867	465.19	4.325	1018	433	582	722	6.0718	2.029	4.0788	2.68	0.3036	41837	464.86	4.283	939	526	688	873	1.0099	0.2745	0.3606	0.9677	1.0007	1.0841	0.8232	0.8459	0.827	fitch
Pf_066_PF00289_1	110	0	31	79	28.18	0.3967	0.0008	0.03	0.0524	0.09	0.1184	0.14	0.174	0.2266	0.2806	0.3626	0.7413	0.0005	0.0149	0.0323	0.0508	0.0676	0.0901	0.1098	0.1391	0.1793	0.2276	0.4276	0	0.0078	0.0163	0.0247	0.0341	0.0427	0.0559	0.0697	0.0867	0.1104	0.2124	5.7344	0.1382	0.8782	0.7691	0.2768	45502	575.97	2.275	1227	613	811	970	5.8072	0.3712	2.3588	2.67	0.2783	45398	574.66	2.304	1202	591	785	933	0.9875	0.3723	0.2877	0.9946	1.0023	1.0208	1.0372	1.0331	1.0397	UPGMA
Pf_069_PF08245_2	214	43	13	158	6.07	1.3596	0.0003	0.03	0.0549	0.09	0.1209	0.16	0.1937	0.238	0.2959	0.3773	0.7852	0.0001	0.0149	0.0318	0.0506	0.0689	0.0888	0.1116	0.1388	0.166	0.2185	0.5011	0.0003	0.008	0.0155	0.0224	0.031	0.0403	0.0506	0.0636	0.0807	0.1051	0.2226	5.7456	1.7202	0.9306	0.6533	0.2744	114137	567.85	7.812	1085	634	798	935	5.7834	3.9928	2.1600	2.19	0.2788	113253	563.45	7.862	963	670	761	863	0.9935	0.4308	0.2979	0.9842	1.0078	1.1267	0.9463	1.0486	1.0834	fitch
Pf_071_PF00579_2	303	20	40	243	13.2	1.1448	0.0015	0.03	0.0537	0.08	0.1122	0.15	0.188	0.2213	0.27	0.33	0.7519	0.0003	0.0075	0.0145	0.0217	0.0309	0.0421	0.0555	0.0707	0.0953	0.1237	0.33	0.0001	0.0035	0.0069	0.0105	0.0149	0.0198	0.0261	0.0329	0.042	0.06	0.2139	3.8164	0.6495	0.4956	0.533	0.1831	325612	1238.07	4.369	1151	686	802	906	3.815	1.1237	0.8574	0.96	0.1832	329981	1254.68	4.367	1128	882	1003	1091	1.0004	0.5780	0.556	0.9995	0.9868	1.0204	0.7778	0.7996	0.8304	UPGMA
Pf_072_PF00177_1	184	36	49	99	26.63	0.4933	0.0004	0.04	0.0645	0.09	0.1188	0.15	0.1875	0.2332	0.2757	0.3602	0.704	0.0003	0.0192	0.0324	0.0483	0.0647	0.0814	0.1024	0.127	0.1617	0.2052	0.3642	0	0.0069	0.015	0.0231	0.031	0.0385	0.0486	0.0613	0.0742	0.0989	0.2376	5.9948	0.1822	0.7487	0.7755	0.2889	69480	514.67	2.957	1150	602	741	905	5.9038	0.4251	1.7469	1.67	0.2895	69370	513.85	2.913	1136	673	836	927	1.0154	0.4286	0.4631	0.9979	1.0016	1.0123	0.8945	0.8864	0.9763	UPGMA
Pf_075_PF07733_1	481	58	121	302	25.16	0.5984	0	0.03	0.0666	0.09	0.129	0.16	0.1959	0.2286	0.2904	0.3648	1.0423	0	0.0119	0.0209	0.0307	0.0412	0.0539	0.0649	0.0786	0.0955	0.1232	0.2938	0	0.0041	0.0079	0.0126	0.0177	0.0226	0.0286	0.0356	0.0473	0.0637	0.165	5.411	0.1249	0.3488	0.3406	0.2591	257477	715.21	3.238	1246	834	921	990	5.3732	0.2824	0.7886	0.73	0.2599	256035	711.21	3.215	1221	909	977	1059	1.007	0.4423	0.4695	0.9969	1.0056	1.0205	0.9175	0.9427	0.9348	fitch
Pf_080_PF01209_1	257	34	50	173	19.46	0.8437	0.0004	0.03	0.0493	0.07	0.0952	0.13	0.1732	0.2075	0.2592	0.3595	0.7873	0.0001	0.0134	0.0229	0.0333	0.0494	0.0672	0.0874	0.1076	0.1389	0.1883	0.4668	0.0001	0.0066	0.0127	0.0198	0.0275	0.0352	0.0438	0.0561	0.0704	0.092	0.194	5.8786	0.4773	0.6705	0.6889	0.2813	136561	659.71	4.96	1160	659	797	918	5.8996	1.1595	1.6289	1.74	0.2838	136149	657.72	4.977	1109	652	785	858	0.9964	0.4116	0.3957	0.9912	1.003	1.046	1.0107	1.0153	1.0699	fitch
Pf_081_PF04055_2	178	9	52	117	29.21	0.5425	0.0001	0.03	0.0539	0.08	0.1064	0.13	0.1593	0.1938	0.2427	0.3163	0.6313	0.0001	0.0174	0.0291	0.0423	0.0557	0.0705	0.0871	0.1088	0.1357	0.1744	0.4695	0.0001	0.0072	0.0143	0.0223	0.0305	0.0403	0.0517	0.063	0.0773	0.0983	0.2086	5.6476	0.2235	0.7594	0.7331	0.2719	91208	723.87	3.064	1184	671	850	984	5.6742	0.4578	1.5555	1.73	0.2728	90445	717.82	3.078	1136	640	788	858	0.9953	0.4882	0.4248	0.9967	1.0084	1.0423	1.0484	1.0787	1.1469	UPGMA
Pf_082_PF00464_1	380	5	119	256	31.32	0.46	0.0009	0.02	0.061	0.1	0.1396	0.18	0.2186	0.2604	0.3056	0.4173	0.9178	0.0003	0.009	0.0237	0.037	0.0527	0.0699	0.0847	0.1023	0.1217	0.1599	0.2902	0	0.005	0.0106	0.0164	0.0221	0.0289	0.0356	0.0432	0.0532	0.0679	0.1533	5.9024	0.0778	0.3677	0.3142	0.281	165355	633.54	2.715	1287	895	991	1032	5.9332	0.2498	1.1805	1.08	0.2818	165701	634.87	2.728	1290	873	1005	1073	0.9948	0.3114	0.2898	0.9972	0.9979	0.9977	1.0252	0.9861	0.9618	UPGMA
Pf_084_PF04452_1	262	58	9	195	3.44	1.5219	0.0001	0.03	0.0463	0.07	0.102	0.12	0.1365	0.1589	0.1849	0.2151	0.3416	0	0.0114	0.0245	0.0384	0.0494	0.0648	0.0809	0.102	0.1233	0.1548	0.2741	0.0002	0.0071	0.0156	0.0244	0.0335	0.043	0.053	0.0662	0.0821	0.104	0.2109	5.7862	1.8516	0.7994	0.658	0.2768	159383	629.97	8.806	1176	742	838	934	5.7988	2.1544	0.9302	0.81	0.2762	159212	629.3	8.825	1166	812	922	990	0.9978	0.8595	0.8126	1.0022	1.0011	1.0086	0.9138	0.9089	0.9434	fitch
Pf_085_PF00623_1	143	0	100	43	69.93	0.1519	0.0002	0.03	0.0489	0.07	0.1113	0.14	0.1766	0.2289	0.2742	0.3976	1.4452	0.0001	0.0175	0.031	0.0492	0.0696	0.0936	0.1209	0.1569	0.1936	0.2601	0.7408	0	0.006	0.0184	0.0257	0.0346	0.0481	0.0589	0.0739	0.0958	0.1257	0.2911	4.7264	0.0314	1.3609	1.4199	0.2321	39150	910.47	0.718	1259	634	812	933	4.8958	0.0794	3.4412	3.98	0.2354	39068	908.56	0.744	1244	616	754	858	0.9654	0.3955	0.3566	0.986	1.0021	1.0121	1.0292	1.0769	1.0874	fitch
Pf_086_PF03840_1	75	6	4	65	5.33	0.8717	0.0007	0.03	0.0516	0.08	0.1078	0.14	0.1585	0.1909	0.2365	0.3023	0.6017	0.0003	0.0183	0.0366	0.0602	0.0828	0.1052	0.134	0.1648	0.2089	0.2584	0.4958	0	0.01	0.019	0.0299	0.041	0.0553	0.071	0.0895	0.1177	0.1538	0.3286	5.362	1.3719	1.8055	1.3697	0.2579	55144	776.68	4.674	1110	556	720	882	5.383	2.0789	2.7359	2.45	0.2595	54350	765.49	4.693	1036	678	811	902	0.9961	0.6599	0.5589	0.9938	1.0146	1.0714	0.8201	0.8878	0.9778	UPGMA
Pf_089_PF00587_1	223	57	52	114	23.32	0.5788	0.0006	0.03	0.0551	0.08	0.112	0.15	0.1791	0.2373	0.2904	0.3361	0.7319	0.0004	0.015	0.0326	0.0491	0.0641	0.0877	0.1095	0.1333	0.1665	0.2264	0.9038	0	0.0073	0.0146	0.0229	0.032	0.0422	0.0525	0.0643	0.0846	0.118	0.3362	5.9724	0.4069	1.2146	1.1252	0.2893	84390	493.51	3.457	1152	549	728	903	6.0326	0.9518	2.8411	3.06	0.29	83289	487.07	3.492	1074	529	714	865	0.99	0.4275	0.3676	0.9976	1.0132	1.0726	1.0378	1.0196	1.0439	UPGMA
Pf_090_PF00730_1	139	14	31	94	22.3	0.8036	0.0002	0.03	0.0595	0.09	0.1234	0.16	0.1944	0.238	0.305	0.402	0.8788	0.0002	0.0216	0.0397	0.0612	0.0858	0.1159	0.1443	0.1827	0.2378	0.3059	0.5277	0	0.0085	0.0183	0.0298	0.0393	0.052	0.0676	0.0834	0.1033	0.1365	0.302	5.9108	0.8171	1.2653	1.097	0.2839	77477	717.38	4.75	1148	613	849	965	5.9906	2.3089	3.5754	3.41	0.2928	75164	695.96	4.815	1011	500	698	879	0.9867	0.3539	0.3213	0.9696	1.0308	1.1355	1.226	1.2163	1.0978	fitch
Pf_092_PF02687_1	135	13	13	109	9.63	0.8954	0.0002	0.02	0.0478	0.08	0.1133	0.14	0.1769	0.2208	0.2596	0.323	0.9256	0.0001	0.0133	0.0268	0.0464	0.0651	0.0861	0.105	0.129	0.1553	0.2177	0.4494	0	0.0077	0.0155	0.0241	0.0337	0.0442	0.0557	0.0666	0.083	0.1075	0.2171	6.1012	0.8272	1.0318	0.8586	0.2952	83626	685.46	5.463	1124	533	703	868	6.041	1.4767	1.8419	1.72	0.2956	83890	687.62	5.41	1083	742	885	1021	1.01	0.5602	0.4992	0.9986	0.9969	1.0379	0.7183	0.7944	0.8501	fitch
Pf_095_PF01148_1	315	115	32	168	10.16	1.5182	0	0.03	0.0488	0.07	0.0985	0.13	0.1665	0.1994	0.2428	0.3441	0.9814	0	0.0121	0.0224	0.0353	0.0504	0.0683	0.0896	0.1136	0.1451	0.1897	0.3524	0	0.0069	0.0136	0.0212	0.0282	0.0383	0.0494	0.0612	0.0748	0.0925	0.1832	6.0452	1.3387	0.5808	0.5056	0.289	171704	606.73	9.178	1236	728	893	1017	6.132	3.9314	1.7056	1.54	0.2909	171150	604.77	9.309	1211	637	829	914	0.9858	0.3405	0.3273	0.9935	1.0032	1.0206	1.1429	1.0772	1.1127	fitch
Pf_097_PF07650_2	91	15	10	66	10.99	0.9644	0.0022	0.03	0.0554	0.08	0.1052	0.14	0.1658	0.1997	0.24	0.295	0.609	0.0011	0.0215	0.0425	0.0618	0.0794	0.1067	0.1352	0.1671	0.2057	0.2765	0.5278	0	0.0101	0.0219	0.0326	0.044	0.0575	0.0704	0.0907	0.1148	0.1501	0.3448	5.1926	1.9116	2.0553	1.7469	0.2535	62263	768.68	5.008	1161	560	734	867	5.2962	2.9363	3.1571	2.96	0.2534	62287	768.98	5.108	1160	593	788	987	0.9804	0.6510	0.5899	1.0004	0.9996	1.0009	0.9444	0.9315	0.8784	UPGMA
Pf_099_PF02874_2	70	5	17	48	24.29	0.5831	0.0002	0.03	0.0567	0.09	0.1253	0.17	0.2047	0.2398	0.2941	0.3652	0.8165	0.0001	0.0174	0.0329	0.0569	0.08	0.1047	0.1302	0.1659	0.1943	0.2654	0.4713	0	0.0077	0.017	0.0251	0.0347	0.0462	0.0584	0.0718	0.0904	0.1204	0.2903	4.872	0.4486	1.3194	1.2108	0.2359	48395	913.11	2.841	1115	426	510	604	4.8314	1.1446	3.3664	2.7	0.2398	49054	925.55	2.817	982	534	720	854	1.0084	0.3919	0.448	0.9837	0.9866	1.1354	0.7978	0.7083	0.7073	fitch
Pf_100_PF00905_2	325	40	25	260	7.69	1.2079	0.0015	0.03	0.0604	0.1	0.1281	0.16	0.1899	0.2274	0.2953	0.3464	0.6205	0.0009	0.0173	0.0303	0.0495	0.0672	0.0836	0.103	0.1222	0.1535	0.195	0.348	0.0001	0.0074	0.0149	0.0219	0.0308	0.0396	0.0485	0.0594	0.0714	0.0938	0.2034	5.6518	0.8941	0.6128	0.5576	0.2716	212055	706.85	6.827	1234	830	961	1069	5.761	2.8927	1.9826	1.58	0.2725	209650	698.83	6.959	1143	840	967	1055	0.981	0.3091	0.3527	0.9967	1.0115	1.0796	0.9881	0.9938	1.0133	fitch
Pf_101_PF00590_1	203	4	35	164	17.24	0.816	0.0009	0.03	0.059	0.09	0.1218	0.15	0.1937	0.2497	0.3112	0.4048	0.8928	0.0004	0.0129	0.0271	0.0427	0.059	0.073	0.0949	0.1145	0.1449	0.193	0.3823	0.0001	0.0067	0.0131	0.0195	0.0266	0.0347	0.0428	0.0531	0.0661	0.085	0.1963	6.6724	0.3566	0.5356	0.5147	0.3183	91037	541.89	5.445	1045	425	595	791	6.65	1.2695	1.9066	1.82	0.3234	88853	528.89	5.427	934	364	570	766	1.0034	0.2809	0.2821	0.9842	1.0246	1.1188	1.1676	1.0439	1.0326	UPGMA
