ID	length	GC_num	IC_num	goodC_num	IC%	TPR/FPRsum_min	TPR/FPRsum1	TPR/FPRsum2	TPR/FPRsum3	TPR/FPRsum4	TPR/FPRsum5	TPR/FPRsum6	TPR/FPRsum7	TPR/FPRsum8	TPR/FPRsum9	TPR/FPRsum_max	TPR_min	TPR_1	TPR_2	TPR_3	TPR_4	TPR_5	TPR_6	TPR_7	TPR_8	TPR_9	TPR_max	FPR_min	FPR_1	FPR_2	FPR_3	FPR_4	FPR_5	FPR_6	FPR_7	FPR_8	FPR_9	FPR_max	MEC	OLS	OLS/MD^2	FMC	fastmeC	newC	newC/nonIC_num	tree_length	MD	topo	jk30	jk50	jk70	division
F_012_PF00271_10	45	3	14	28	31.11	0.0004	0.03	0.06	0.11	0.1733	0.22	0.2856	0.35	0.4435	0.5303	1.0397	0.0004	0.0245	0.0511	0.091	0.1402	0.189	0.239	0.3021	0.3693	0.5174	1.0699	0.0001	0.0048	0.0158	0.0283	0.0413	0.0576	0.075	0.0961	0.1264	0.1851	0.4039	4.4254	0.3286	3.2332	2.8165	0.2199	23928	771.87	1.411	0.3188	1204	480	710	880	good
F_015_PF01207_3	409	227	38	144	9.29	0.0001	0.04	0.0747	0.1	0.1477	0.18	0.2226	0.2775	0.3821	0.5031	1.0955	0	0.0134	0.0298	0.0457	0.0596	0.0797	0.1118	0.1492	0.202	0.2928	0.5465	0.0001	0.0049	0.0109	0.0166	0.0237	0.0317	0.0404	0.0529	0.0676	0.0899	0.1965	5.3172	0.3145	0.7807	0.5458	0.2543	150253	404.99	3.375	0.6347	1204	838	962	1036	good
F_016_PF00004_3	131	0	116	15	88.55	0	0	0.0008	0.06	0.1361	0.17	0.2564	0.2946	0.3355	0.6957	21.9641	0	0	0.0012	0.1279	0.1696	0.2019	0.2492	0.2555	0.4006	0.5098	1.0218	0	0	0	0.0003	0.0008	0.002	0.0042	0.1702	0.2022	0.2507	0.806	4.4394	0.0061	5.3394	4.4732	0.2166	9440	629.33	0.15	0.0338	970	250	441	656	bad
F_018_PF09334_2	399	193	52	154	13.03	0.0004	0.02	0.0481	0.07	0.104	0.13	0.153	0.1908	0.239	0.3232	0.7111	0.0002	0.0084	0.0185	0.0307	0.0414	0.0556	0.072	0.0874	0.1156	0.1487	0.5345	0	0.0058	0.011	0.0171	0.0242	0.0313	0.0391	0.049	0.0633	0.081	0.2019	5.3774	0.2997	0.5260	0.4711	0.2573	212734	613.07	4.059	0.7548	1269	964	1063	1111	good
F_019_PF00118_1	494	16	235	243	47.57	0.0009	0.04	0.0645	0.1	0.137	0.17	0.2226	0.2901	0.433	0.6823	2.2926	0.0001	0.0108	0.0196	0.0311	0.0461	0.0597	0.0777	0.1097	0.1497	0.2254	0.374	0.0001	0.0041	0.0089	0.0133	0.0178	0.0224	0.0294	0.0374	0.048	0.0632	0.1272	5.2752	0.0181	0.2952	0.2381	0.2522	162429	627.14	1.306	0.2476	1290	951	1027	1071	good
F_022_PF12796_1	133	72	3	58	2.26	0.0004	0.02	0.047	0.07	0.1043	0.14	0.1798	0.2177	0.3018	0.3725	0.8285	0.0005	0.0193	0.0391	0.065	0.0914	0.135	0.1716	0.2212	0.2807	0.3647	1.0527	0.0001	0.0123	0.0236	0.0369	0.049	0.0656	0.0854	0.1063	0.135	0.1856	0.4708	6.314	5.9144	2.5101	1.8391	0.3042	40577	312.13	9.692	1.535	917	374	545	701	bad
F_026_PF00995_1	682	355	35	292	5.13	0.0002	0.03	0.0595	0.08	0.1077	0.14	0.1685	0.2092	0.2675	0.4158	0.9077	0.0001	0.0113	0.0217	0.0313	0.044	0.0568	0.073	0.0938	0.1331	0.1939	0.4715	0.0001	0.0058	0.0113	0.0179	0.0242	0.0306	0.037	0.0465	0.0603	0.0795	0.1972	5.222	0.6853	0.5599	0.3834	0.2504	385921	596.48	5.777	1.1063	1233	1055	1104	1126	good
F_027_PF00072_2	138	64	26	48	18.84	0.0006	0.03	0.0543	0.08	0.1129	0.14	0.1727	0.2088	0.2706	0.3566	0.615	0.0002	0.0161	0.0302	0.0485	0.0667	0.0922	0.1127	0.1556	0.1985	0.2757	1.1697	0	0.0056	0.0126	0.0219	0.0337	0.0434	0.0585	0.0743	0.0974	0.1518	0.4114	4.5626	0.583	2.0075	1.438	0.2201	57383	512.35	2.459	0.5389	1243	810	911	1042	good
F_028_PF00623_1	176	8	85	83	48.3	0	0.02	0.054	0.08	0.1016	0.13	0.1576	0.1952	0.2458	0.2965	0.5806	0	0.0114	0.0229	0.034	0.045	0.0588	0.0761	0.0893	0.1083	0.1431	0.5304	0.0001	0.0061	0.0118	0.0181	0.0246	0.0324	0.0418	0.0521	0.0635	0.0838	0.1976	4.9084	0.0591	0.5911	0.5638	0.2359	75685	831.7	1.552	0.3162	1279	832	1033	1094	good
F_029_PF04427_5	208	34	36	138	17.31	0	0.04	0.0874	0.13	0.1668	0.21	0.257	0.3096	0.4023	0.5028	1.0027	0	0.0157	0.0297	0.0471	0.07	0.0878	0.1027	0.1275	0.1539	0.1949	0.3812	0	0.004	0.0082	0.0134	0.0192	0.0252	0.0332	0.0427	0.0569	0.0763	0.1883	4.5598	0.3419	0.7284	0.4853	0.2166	170441	990.94	3.124	0.6851	1244	838	944	1040	good
F_030_PF00076_8	71	17	11	43	15.49	0.0003	0.03	0.0563	0.09	0.113	0.14	0.1662	0.2012	0.2462	0.3292	0.6126	0.0001	0.0213	0.04	0.0656	0.0908	0.1146	0.1438	0.1781	0.2231	0.2994	0.6182	0	0.0106	0.0226	0.033	0.0453	0.0572	0.0717	0.0903	0.1172	0.1575	0.3239	5.166	1.4521	2.2964	1.7088	0.2515	44613	743.55	4.108	0.7952	1083	589	710	821	good
F_032_PF00153_40	101	14	34	53	33.66	0.0008	0.03	0.0542	0.08	0.1041	0.13	0.1634	0.1993	0.2564	0.3801	2.2114	0.0004	0.0139	0.0268	0.0411	0.0572	0.076	0.1003	0.1249	0.1749	0.2615	1.0181	0	0.0069	0.0144	0.0226	0.0291	0.0379	0.0493	0.0615	0.0814	0.112	0.414	4.746	0.2801	1.1027	1.4992	0.2293	57320	855.52	2.392	0.504	1265	743	907	1007	good
F_033_PF00789_2	105	32	2	71	1.9	0.0002	0.04	0.0588	0.08	0.1095	0.14	0.1679	0.2091	0.2615	0.3225	0.8135	0.0001	0.015	0.0299	0.0494	0.0663	0.0867	0.1119	0.1438	0.1736	0.2344	0.7088	0	0.0076	0.0154	0.0242	0.0339	0.0441	0.0555	0.0709	0.0918	0.1288	0.3718	4.5836	4.0715	1.7352	1.0546	0.2208	78568	762.8	7.021	1.5318	1263	835	957	1047	bad
F_035_PF02134_3	69	0	40	29	57.97	0.0002	0.02	0.0612	0.11	0.1474	0.19	0.2358	0.3047	0.3967	0.5398	1.3459	0.0001	0.017	0.0389	0.0779	0.1036	0.1427	0.1876	0.2498	0.3138	0.4175	0.8707	0	0.006	0.0164	0.0294	0.0408	0.0561	0.0727	0.0873	0.1076	0.1433	0.2901	4.9756	0.0706	2.0561	2.0371	0.2428	19388	668.55	0.922	0.1853	1035	390	503	629	bad
F_036_PF01602_5	582	73	143	366	24.57	0.0004	0.03	0.0668	0.09	0.1223	0.15	0.2244	0.358	0.5874	0.7929	1.5778	0.0001	0.0056	0.0121	0.02	0.026	0.0359	0.0506	0.0842	0.1083	0.1783	0.4016	0	0.0026	0.0053	0.0081	0.0118	0.0156	0.0188	0.0229	0.0291	0.0378	0.1204	4.9518	0.0312	0.1347	0.1763	0.2363	289808	660.15	2.383	0.4812	1324	963	1052	1082	good
F_037_PF00009_5	207	0	133	74	64.25	0	0.03	0.0717	0.11	0.1592	0.2	0.2708	0.3941	0.5463	0.6535	1.0797	0	0.0053	0.0264	0.0438	0.0643	0.0932	0.1196	0.1483	0.1961	0.2742	0.5042	0	0.0007	0.0055	0.0124	0.0181	0.0237	0.0325	0.0447	0.0603	0.0762	0.3039	4.403	0.0165	0.5450	0.546	0.2106	68050	919.59	0.766	0.174	1333	928	1009	1057	good
F_038_PF10602_1	175	2	29	144	16.57	0.0004	0.03	0.0604	0.09	0.12	0.16	0.1979	0.2398	0.2891	0.3654	0.842	0.0001	0.0119	0.0258	0.0393	0.0511	0.0667	0.0827	0.1028	0.1289	0.1813	0.4375	0	0.0055	0.0103	0.0157	0.0218	0.0293	0.0383	0.0498	0.062	0.0814	0.1859	4.4016	0.4714	0.6726	0.593	0.2111	167204	1145.23	3.685	0.8372	1277	934	1004	1053	good
F_039_PF04427_2	344	231	31	82	9.01	0	0.04	0.0872	0.13	0.17	0.22	0.2966	0.3999	0.5176	0.8206	2.1574	0	0.0112	0.0191	0.0309	0.0415	0.0571	0.0769	0.1006	0.1512	0.2567	0.805	0	0.0035	0.007	0.0104	0.0141	0.0185	0.0237	0.0298	0.0373	0.0478	0.1294	4.599	0.105	0.1960	0.2015	0.2192	238053	760.55	3.366	0.7319	1295	962	1012	1064	good
F_040_PF10602_1	175	1	31	143	17.71	0.002	0.04	0.065	0.09	0.1182	0.16	0.1914	0.2274	0.2659	0.3259	1.1517	0.0009	0.0121	0.0216	0.0301	0.0402	0.0506	0.0665	0.079	0.0988	0.123	0.5485	0	0.0048	0.0091	0.0137	0.0188	0.0243	0.0298	0.0371	0.0482	0.0673	0.164	4.1874	0.2737	0.4420	0.3978	0.2	169190	1174.93	3.295	0.7869	1292	929	1022	1089	good
F_044_PF13414_1	81	32	1	48	1.23	0.0001	0.02	0.0565	0.09	0.1167	0.15	0.1774	0.2198	0.2736	0.3516	0.8365	0.0001	0.0199	0.0437	0.0686	0.106	0.1409	0.1906	0.2218	0.2942	0.4222	1.1447	0	0.0076	0.0197	0.0338	0.0509	0.0671	0.0887	0.1154	0.1528	0.2246	0.6357	4.8594	20.3146	5.6309	3.0314	0.2335	56239	702.99	9.23	1.8994	1156	605	787	863	bad
F_045_PF02301_1	226	157	16	53	7.08	0.0001	0.02	0.05	0.08	0.1073	0.14	0.1738	0.2115	0.2609	0.3546	0.962	0.0001	0.0113	0.0225	0.034	0.0517	0.0662	0.0915	0.1103	0.1388	0.2124	0.7036	0	0.0062	0.013	0.0198	0.026	0.0351	0.0461	0.0563	0.0695	0.0919	0.34	5.6266	0.2402	0.7308	0.8387	0.2695	93582	445.63	3.226	0.5733	1184	768	932	1013	good
F_046_PF00237_2	136	0	51	85	37.5	0.0007	0.02	0.0545	0.08	0.1109	0.14	0.189	0.2398	0.2962	0.3795	0.6611	0.0006	0.0092	0.0231	0.0354	0.0547	0.0755	0.1057	0.1281	0.158	0.2062	0.5273	0	0.0053	0.0116	0.0185	0.0261	0.0349	0.045	0.057	0.0736	0.1023	0.2798	4.1454	0.1516	1.0571	0.813	0.1994	82880	975.06	1.57	0.3787	1234	789	902	957	bad
F_047_PF00069_24	300	136	50	114	16.67	0	0.03	0.0619	0.1	0.1497	0.21	0.2514	0.3175	0.4027	0.5234	1.1994	0	0.0092	0.0225	0.0355	0.0577	0.0747	0.0944	0.1253	0.1679	0.2322	0.4499	0	0.0021	0.0079	0.0133	0.0199	0.026	0.0346	0.0433	0.0565	0.0769	0.17	5.4334	0.1182	0.4976	0.4294	0.259	131068	524.27	2.648	0.4874	1276	972	1106	1152	good
F_048_PF02803_2	124	3	38	83	30.65	0.0001	0.02	0.0541	0.08	0.1099	0.15	0.1821	0.2201	0.2652	0.327	0.8831	0.0001	0.0144	0.0323	0.0455	0.065	0.0887	0.1132	0.1397	0.18	0.2326	0.6807	0	0.0074	0.0156	0.0241	0.0334	0.0432	0.0554	0.0727	0.0919	0.12	0.2791	5.2528	0.2764	1.3263	1.1263	0.2523	62295	724.36	2.398	0.4565	1227	771	920	1005	good
F_050_PF00227_9	209	19	56	134	26.79	0.0004	0.02	0.0458	0.08	0.1065	0.14	0.1668	0.2125	0.2869	0.3515	0.7592	0.0002	0.0098	0.0206	0.0325	0.0475	0.0646	0.0807	0.1076	0.1352	0.1882	0.6302	0.0002	0.0062	0.0119	0.019	0.026	0.0338	0.0419	0.053	0.0666	0.0898	0.1914	5.2892	0.2421	0.7392	0.6862	0.2513	113917	744.56	3.027	0.5723	1222	827	945	1032	good
F_052_PF00406_2	188	0	97	91	51.6	0	0.04	0.0765	0.11	0.1465	0.19	0.2261	0.2815	0.3379	0.4382	0.9681	0	0.0197	0.0383	0.0632	0.0801	0.0992	0.1262	0.1625	0.2007	0.2496	0.4904	0.0001	0.007	0.0143	0.022	0.0292	0.0385	0.0498	0.0643	0.0797	0.108	0.2632	5.649	0.0649	1.0459	0.7554	0.2714	57170	628.24	1.407	0.2491	1214	715	857	1019	good
F_054_PF00348_1	279	126	36	117	12.9	0.001	0.03	0.0556	0.08	0.107	0.13	0.1608	0.1917	0.2468	0.3634	0.7839	0.0004	0.0104	0.0199	0.0311	0.0451	0.0574	0.0699	0.097	0.1325	0.1742	0.3455	0	0.0053	0.0105	0.0167	0.0226	0.0306	0.0373	0.0486	0.0618	0.0826	0.1785	5.824	0.2196	0.5558	0.4922	0.2821	134956	555.37	3.661	0.6286	1237	771	916	1005	bad
F_055_PF00999_2	439	31	110	298	25.06	0.0001	0.02	0.0485	0.07	0.0976	0.12	0.1378	0.1679	0.1912	0.2477	0.66	0	0.008	0.0166	0.0252	0.0323	0.0407	0.0509	0.06	0.0795	0.1034	0.2617	0	0.0048	0.0097	0.0154	0.0202	0.0266	0.0331	0.0405	0.0505	0.0645	0.178	5.4726	0.0772	0.3134	0.3093	0.2607	222012	674.81	2.716	0.4963	1279	845	924	1037	good
F_057_PF01734_2	215	25	43	147	20	0	0.02	0.0486	0.08	0.1093	0.14	0.1732	0.2103	0.2544	0.3453	0.7953	0	0.0073	0.0185	0.0254	0.0351	0.0497	0.0634	0.0818	0.1063	0.1583	0.5393	0	0.0022	0.0071	0.0123	0.0184	0.024	0.0324	0.0441	0.0601	0.0838	0.2457	4.4338	0.2376	0.5636	0.7094	0.2111	131548	764.81	2.879	0.6493	1162	694	784	881	bad
F_058_PF11987_1	119	18	13	88	10.92	0.0003	0.02	0.0421	0.07	0.0909	0.12	0.1437	0.1798	0.2134	0.2664	1.0655	0.0001	0.013	0.0242	0.0426	0.0592	0.0745	0.0964	0.1181	0.1601	0.2131	0.747	0	0.008	0.0163	0.0246	0.0366	0.0485	0.0599	0.0756	0.095	0.1305	0.2477	5.3074	1.4147	1.2366	1.1602	0.2545	80269	757.25	5.677	1.0696	1236	777	898	951	good
F_059_PF04003_1	118	12	7	99	5.93	0.0005	0.03	0.0594	0.1	0.1367	0.16	0.2019	0.2462	0.3035	0.3907	1.0836	0.0002	0.017	0.031	0.052	0.0659	0.084	0.1112	0.139	0.1794	0.2272	0.4987	0	0.0059	0.0131	0.021	0.0296	0.0399	0.051	0.062	0.0779	0.1047	0.3085	4.7642	1.042	1.2040	0.7052	0.2291	84253	759.04	4.432	0.9303	1258	937	1063	1128	good
F_060_PF02383_2	403	88	78	237	19.35	0.0001	0.03	0.053	0.09	0.1228	0.16	0.1891	0.256	0.3143	0.4315	0.89	0	0.0096	0.0169	0.0277	0.0372	0.0498	0.0625	0.076	0.1001	0.1432	0.2755	0	0.0042	0.0086	0.0132	0.0174	0.0229	0.0288	0.0357	0.0445	0.0579	0.1236	5.187	0.106	0.2889	0.255	0.2481	217611	669.57	3.142	0.6057	1277	806	905	984	good
F_062_PF05189_1	118	15	8	95	6.78	0.0013	0.04	0.0664	0.09	0.1164	0.15	0.1778	0.2068	0.242	0.3222	0.6388	0.0009	0.0156	0.0265	0.0414	0.0538	0.0664	0.0857	0.1092	0.1335	0.1819	0.3823	0	0.0059	0.0118	0.0178	0.0254	0.033	0.0419	0.0517	0.0698	0.0944	0.2295	3.9536	0.8168	0.9797	0.7755	0.1892	118678	1078.89	3.61	0.9131	1308	858	956	1034	good
F_063_PF00005_9	136	0	51	85	37.5	0.0009	0.02	0.0469	0.08	0.1037	0.13	0.1555	0.1984	0.254	0.3253	0.5925	0.0006	0.0151	0.028	0.0446	0.0602	0.0744	0.0942	0.136	0.1877	0.2395	0.5601	0.0001	0.0091	0.0174	0.026	0.0352	0.0457	0.0568	0.0705	0.094	0.1197	0.2922	5.1156	0.2476	1.4205	1.2679	0.2462	70574	830.28	2.136	0.4175	1225	807	932	1014	good
F_064_PF00069_36	342	126	61	155	17.84	0.0015	0.03	0.0481	0.07	0.0928	0.12	0.1463	0.1825	0.2397	0.3872	1.0432	0.0002	0.006	0.0122	0.0195	0.029	0.0363	0.0488	0.0652	0.0848	0.1103	0.3567	0	0.0035	0.0069	0.0107	0.0149	0.0197	0.0253	0.0324	0.042	0.0571	0.1254	4.5892	0.1111	0.3335	0.3221	0.2187	194463	692.04	2.649	0.5772	1320	937	1017	1089	good
F_066_PF01248_2	95	26	26	43	27.37	0	0.02	0.0586	0.1	0.1496	0.18	0.2569	0.3322	0.4213	0.603	1.2358	0	0.0134	0.0382	0.0601	0.0838	0.1168	0.1496	0.1921	0.2501	0.3495	0.5933	0	0.0036	0.0118	0.0194	0.0288	0.0397	0.0537	0.066	0.0866	0.1239	0.3591	4.5878	0.0999	1.1093	0.839	0.2209	41699	604.33	1.377	0.3001	1222	742	916	1047	bad
F_070_PF00076_1	71	1	19	51	26.76	0.0004	0.03	0.0532	0.08	0.1145	0.14	0.1759	0.2063	0.2527	0.3213	0.6797	0.0003	0.0185	0.0452	0.0723	0.1006	0.1203	0.1487	0.1817	0.2255	0.296	0.5445	0	0.0107	0.0194	0.0324	0.0459	0.0591	0.0761	0.096	0.1205	0.1626	0.388	5.5608	0.6446	2.2479	2.0426	0.2689	36700	705.77	2.978	0.5355	1140	553	789	952	good
F_071_PF03167_1	195	90	32	73	16.41	0.0002	0.02	0.0493	0.08	0.126	0.17	0.2055	0.2726	0.3362	0.4122	0.7727	0	0.0115	0.0239	0.0423	0.0617	0.0843	0.11	0.147	0.184	0.2201	0.3582	0	0.0057	0.0119	0.0184	0.027	0.0357	0.0476	0.0598	0.0791	0.0995	0.215	5.2416	0.2519	0.7065	0.6038	0.2516	97757	599.74	3.13	0.5971	1257	729	805	919	good
F_073_PF04191_1	105	2	35	68	33.33	0.0013	0.03	0.0662	0.1	0.1243	0.15	0.1777	0.2291	0.2746	0.3529	0.6188	0.0003	0.0185	0.0424	0.0634	0.0861	0.1144	0.1456	0.1768	0.2277	0.2997	0.6166	0	0.0078	0.016	0.0272	0.0397	0.0539	0.0696	0.086	0.1086	0.1432	0.3021	5.3466	0.5805	1.7607	1.7318	0.2594	55559	793.7	3.07	0.5742	1164	677	819	908	good
F_076_PF01846_1	52	2	4	46	7.69	0.0019	0.04	0.0735	0.1	0.1202	0.15	0.1861	0.2141	0.2551	0.3475	1.0067	0.0013	0.0235	0.0413	0.0583	0.0734	0.0971	0.1207	0.1474	0.1937	0.235	0.4498	0	0.0074	0.0151	0.0234	0.0323	0.0434	0.0548	0.0693	0.088	0.1206	0.3165	4.0782	1.4791	1.3786	1.1358	0.1957	54882	1143.38	4.224	1.0358	1147	516	618	692	bad
F_077_PF00153_16	110	26	22	62	20	0.0001	0.03	0.0551	0.08	0.1013	0.12	0.1435	0.1693	0.1903	0.2397	0.65	0.0001	0.0185	0.0358	0.0501	0.0697	0.0877	0.1124	0.1394	0.1685	0.22	0.4504	0	0.0099	0.0198	0.0297	0.0404	0.0532	0.0661	0.0854	0.1084	0.1414	0.3093	4.8818	1.1378	2.1357	1.3051	0.2356	66814	759.25	3.563	0.7299	1115	633	751	850	good
F_079_PF04560_2	94	47	29	18	30.85	0	0.03	0.0669	0.11	0.1603	0.22	0.275	0.3922	0.5014	0.7278	1.471	0	0.0148	0.0419	0.0698	0.11	0.1455	0.2144	0.3187	0.4419	0.691	1.764	0	0.005	0.0134	0.0241	0.0371	0.0473	0.0619	0.0864	0.1155	0.1583	0.5133	3.934	0.3036	5.3418	5.4155	0.1922	36823	566.51	0.938	0.2384	1128	562	717	855	bad
F_080_PF07479_1	154	15	22	117	14.29	0.0007	0.02	0.0601	0.09	0.1206	0.16	0.2132	0.2663	0.3439	0.4306	0.6918	0.0005	0.0116	0.0285	0.0453	0.0604	0.0783	0.0976	0.1231	0.1662	0.2401	0.6632	0.0001	0.0066	0.0136	0.0209	0.0278	0.0356	0.0443	0.057	0.073	0.0979	0.2346	5.7344	0.5108	0.9491	0.7463	0.2757	79908	605.36	4.207	0.7336	1136	641	798	924	good
F_081_PF00587_4	335	11	133	191	39.7	0	0.03	0.0625	0.1	0.1278	0.15	0.1711	0.2134	0.2569	0.353	1.8581	0	0.0112	0.0248	0.0372	0.0493	0.0627	0.0774	0.0988	0.1201	0.1728	0.3774	0	0.005	0.0103	0.0156	0.0206	0.0276	0.0362	0.048	0.0628	0.0778	0.1595	5.5034	0.0738	0.4951	0.4256	0.2637	140673	696.4	2.125	0.3861	1237	750	857	939	good
F_083_PF00227_11	200	47	49	104	24.5	0	0.02	0.0669	0.1	0.1276	0.15	0.1971	0.2727	0.3712	0.5479	1.3731	0	0.0078	0.0238	0.0375	0.0554	0.0709	0.0849	0.1158	0.1567	0.2357	0.5702	0	0.0026	0.0088	0.0146	0.0212	0.0283	0.037	0.0476	0.0597	0.0769	0.1368	5.1702	0.1069	0.5660	0.4687	0.247	100489	665.49	2.247	0.4346	1246	861	972	1051	good
F_084_PF01263_1	343	166	15	162	4.37	0	0.02	0.0484	0.08	0.0991	0.14	0.1749	0.2162	0.2705	0.357	0.7402	0	0.0102	0.0231	0.0347	0.0502	0.0643	0.0865	0.1145	0.1671	0.2226	0.3688	0.0001	0.0064	0.0124	0.0195	0.0274	0.0376	0.0484	0.0593	0.075	0.1012	0.2094	5.8814	1.0435	0.9677	0.6418	0.2822	167384	510.32	6.107	1.0384	1207	849	992	1097	good
F_085_PF00270_17	169	2	92	75	54.44	0.0007	0.02	0.0472	0.07	0.0957	0.12	0.1637	0.2149	0.2554	0.34	1.306	0.0003	0.0103	0.0186	0.0302	0.0421	0.0552	0.0697	0.0874	0.1272	0.1756	0.4463	0	0.0056	0.0116	0.0174	0.0235	0.0305	0.0409	0.0504	0.0618	0.085	0.2313	4.844	0.0333	0.5786	0.609	0.233	59784	776.42	1.162	0.2399	1239	826	957	1078	good
